IKN,İhale Kayıt No,İhale Adı,İhale Türü - Usulü,Kısmi Teklif,İhale Branş Kodları (OKAS),İhale Onay Tarihi,İlanın Şekli,İşin Yapılacağı Yer,İhale Yeri - Tarihi - Saati,İhale Durumu,Bağlı Olduğu En Üst İdare,Bağlı Olduğu İdare,İhaleyi Yapan İdare Adı,İdarenin İli,İdare Adı,İlk,Yaklaşık Maliyet,Yabancı Para Birimi Cinsinden Yaklaşık Maliyet,Sözleşme Tarihi,En Yüksek Teklif,En Düşük Teklif,Devir Bilgisi,Fesih Tarihi,Fesih Nedeni,İlk_parsed,Yaklaşık Maliyet_parsed,En Düşük Teklif_parsed,En Yüksek Teklif_parsed,pct_lowest_vs_estimate,pct_bid_spread,IhaleYeri_location,IhaleYeri_datetime
2023/1560755,2023/1560755e-ihale,"İskenderun İlçesi Cebike Mahallesi, Düğünyurdu, Aşkarbeyli 2-3 Etap 3986 Adet Konut Bölgesi 24 Derslikli İlkokul (1 Kısım)  Yapım İşi",Yapım - Pazarlık - Pazarlık (MD 21 B),Verilemez,45000000,26.12.2023,Sonuç İlanı,İskenderun/HATAY,Mustafa Kemal Üniversitesi Tayfur Sökmen Kampüsü Geçici Yerleşkesi - 28.12.2023 14:30,Sonuç İlanı Yayımlanmış,YATIRIM İZLEME VE KOORDİNASYON BAŞKANLIKLARI,HATAY YATIRIM İZLEME VE KOORDİNASYON BAŞKANLIĞI,YATIRIM İZLEME MÜDÜRLÜĞÜ YATIRIM İZLEME VE KOORDİNASYON BAŞKANLIKLARI HATAY YATIRIM İZLEME VE KOORDİNASYON BAŞKANLIĞI,HATAY,,"83.900.000,00 TRY","84.706.483,11 TRY",,18.01.2024,"83.900.000,00 TRY","83.900.000,00 TRY",Yok,,,83900000,84706483.11,83900000,83900000,-0.9520913634824136,0,Mustafa Kemal Üniversitesi Tayfur Sökmen Kampüsü Geçici Yerleşkesi,28.12.2023 14:30
2023/1559374,2023/1559374e-ihale,Kırıkhan İlçesi Karataş Mahallesi 1-2Etap 1962 Adet Konut Bölgesi 24 Derslikli Lise Yapım İşi,Yapım - Pazarlık - Pazarlık (MD 21 B),Verilemez,45000000,25.12.2023,Sonuç İlanı,Kırıkhan/HATAY,Hatay Valiliği Yatırım İzleme ve Koordinasyon Başkanlığı Mustafa Kemal Üniversitesi Tayfur Sökmen Kampüsü Geçici Yerleşkesi - 28.12.2023 14:30,Sonuç İlanı Yayımlanmış,YATIRIM İZLEME VE KOORDİNASYON BAŞKANLIKLARI,HATAY YATIRIM İZLEME VE KOORDİNASYON BAŞKANLIĞI,YATIRIM İZLEME MÜDÜRLÜĞÜ YATIRIM İZLEME VE KOORDİNASYON BAŞKANLIKLARI HATAY YATIRIM İZLEME VE KOORDİNASYON BAŞKANLIĞI,HATAY,,"81.100.000,00 TRY","81.395.924,77 TRY",,14.02.2024,"81.100.000,00 TRY","81.100.000,00 TRY",Yok,,,81100000,81395924.77,81100000,81100000,-0.3635621449552773,0,Hatay Valiliği Yatırım İzleme ve Koordinasyon Başkanlığı Mustafa Kemal Üniversitesi Tayfur Sökmen Kampüsü Geçici Yerleşkesi,28.12.2023 14:30
2023/1560741,2023/1560741e-ihale,Hassa İlçesi Aşağıkarafakılı Mahallesi 1-2-3-4. Etap 3878 Adet Konut Bölgesi 24 Derslikli Lise Yapım İşi,Yapım - Pazarlık - Pazarlık (MD 21 B),Verilemez,45000000,25.12.2023,Sonuç İlanı,Hassa/HATAY,Hatay Valiliği Yatırım İzleme ve Koordinasyon Başkanlığı Mustafa Kemal Üniversitesi Tayfur Sökmen Kampüsü Geçici Yerleşkesi - 28.12.2023 13:30,Sonuç İlanı Yayımlanmış,YATIRIM İZLEME VE KOORDİNASYON BAŞKANLIKLARI,HATAY YATIRIM İZLEME VE KOORDİNASYON BAŞKANLIĞI,YATIRIM İZLEME MÜDÜRLÜĞÜ YATIRIM İZLEME VE KOORDİNASYON BAŞKANLIKLARI HATAY YATIRIM İZLEME VE KOORDİNASYON BAŞKANLIĞI,HATAY,,"81.000.000,00 TRY","81.395.924,77 TRY",,17.01.2024,"86.700.000,00 TRY","81.000.000,00 TRY",Yok,,,81000000,81395924.77,81000000,86700000,-0.48641841851266904,7.037037037037037,Hatay Valiliği Yatırım İzleme ve Koordinasyon Başkanlığı Mustafa Kemal Üniversitesi Tayfur Sökmen Kampüsü Geçici Yerleşkesi,28.12.2023 13:30
2023/1544672,2023/1544672e-ihale,Antakya Alaattin İlkokulu Onarım İşi,Yapım - Pazarlık - Pazarlık (MD 21 B),Verilemez,452100001,21.12.2023,Sonuç İlanı,Antakya İlçesi,HATAY İL MİLLİ EĞİTİM MÜDÜRLÜĞÜ İŞAAT EMLAK( İHALE BİRİMİ) HİZMETLERİ ŞUBESİ - 27.12.2023 15:30,Sonuç İlanı Yayımlanmış,MİLLİ EĞİTİM BAKANLIĞI,BAKAN YARDIMCILIKLARI,Hatay İl Milli Eğitim Müdürlüğü- MİLLİ EĞİTİM BAKANLIĞI BAKAN YARDIMCILIKLARI,HATAY,,"1.125.631,02 TRY","1.133.971,66 TRY",,08.01.2024,"1.245.094,32 TRY","1.125.631,02 TRY",Yok,,,1125631.02,1133971.66,1125631.02,1245094.32,-0.7355245544672517,10.613007093567841,HATAY İL MİLLİ EĞİTİM MÜDÜRLÜĞÜ İŞAAT EMLAK( İHALE BİRİMİ) HİZMETLERİ ŞUBESİ,27.12.2023 15:30
2023/1544062,2023/1544062e-ihale,Dörtyol Ortaokulu Onarım İşi,Yapım - Pazarlık - Pazarlık (MD 21 B),Verilemez,452100001,21.12.2023,Sonuç İlanı,Dörtyol İlçesi,HATAY İL MİLLİ EĞİTİM MÜDÜRLÜĞÜ İŞAAT EMLAK( İHALE BİRİMİ) HİZMETLERİ ŞUBESİ - 27.12.2023 14:30,Sonuç İlanı Yayımlanmış,MİLLİ EĞİTİM BAKANLIĞI,BAKAN YARDIMCILIKLARI,Hatay İl Milli Eğitim Müdürlüğü- MİLLİ EĞİTİM BAKANLIĞI BAKAN YARDIMCILIKLARI,HATAY,,"2.583.838,25 TRY","2.177.735,73 TRY",,08.01.2024,"2.993.492,25 TRY","2.583.838,25 TRY",Yok,,,2583838.25,2177735.73,2583838.25,2993492.25,18.647924741538773,15.85447541075762,HATAY İL MİLLİ EĞİTİM MÜDÜRLÜĞÜ İŞAAT EMLAK( İHALE BİRİMİ) HİZMETLERİ ŞUBESİ,27.12.2023 14:30
2023/1543206,2023/1543206e-ihale,Dörtyol Karahasanpaşa Ortaokulu Ek Bina Onarım İşi,Yapım - Pazarlık - Pazarlık (MD 21 B),Verilemez,452100001,21.12.2023,Sonuç İlanı,Dörtyol İlçesi,HATAY İL MİLLİ EĞİTİM MÜDÜRLÜĞÜ İŞAAT EMLAK( İHALE BİRİMİ) HİZMETLERİ ŞUBESİ - 27.12.2023 12:30,Sonuç İlanı Yayımlanmış,MİLLİ EĞİTİM BAKANLIĞI,BAKAN YARDIMCILIKLARI,Hatay İl Milli Eğitim Müdürlüğü- MİLLİ EĞİTİM BAKANLIĞI BAKAN YARDIMCILIKLARI,HATAY,,"7.484.972,35 TRY","6.285.302,22 TRY",,04.01.2024,"7.974.394,40 TRY","7.484.972,35 TRY",Yok,,,7484972.35,6285302.22,7484972.35,7974394.4,19.086912418986273,6.538728897241695,HATAY İL MİLLİ EĞİTİM MÜDÜRLÜĞÜ İŞAAT EMLAK( İHALE BİRİMİ) HİZMETLERİ ŞUBESİ,27.12.2023 12:30
2023/1542204,2023/1542204e-ihale,Dörtyol Halk Eğitim Merkezi Genel Onarım İşi,Yapım - Pazarlık - Pazarlık (MD 21 B),Verilemez,452100001,21.12.2023,Sonuç İlanı,Dörtyol İlçesi,HATAY İL MİLLİ EĞİTİM MÜDÜRLÜĞÜ İŞAAT EMLAK( İHALE BİRİMİ) HİZMETLERİ ŞUBESİ - 27.12.2023 11:00,Sonuç İlanı Yayımlanmış,MİLLİ EĞİTİM BAKANLIĞI,BAKAN YARDIMCILIKLARI,Hatay İl Milli Eğitim Müdürlüğü- MİLLİ EĞİTİM BAKANLIĞI BAKAN YARDIMCILIKLARI,HATAY,,"8.492.574,33 TRY","8.636.113,53 TRY",,08.01.2024,"9.046.854,42 TRY","8.492.574,33 TRY",Yok,,,8492574.33,8636113.53,8492574.33,9046854.42,-1.662080975445436,6.526643965210957,HATAY İL MİLLİ EĞİTİM MÜDÜRLÜĞÜ İŞAAT EMLAK( İHALE BİRİMİ) HİZMETLERİ ŞUBESİ,27.12.2023 11:00
2023/1525727,2023/1525727e-ihale,Antakya İlçesi 6 Bölge 1-2 Etap 2990 Adet Konut Bölgesi 24 Derslikli Ortaokul (142 Ada 2 Parsel)Yapım İşi,Yapım - Pazarlık - Pazarlık (MD 21 B),Verilemez,45000000,20.12.2023,Sonuç İlanı,Antakya/HATAY,Hatay Valiliği Yatırım İzleme ve Koordinasyon Başkanlığı Mustafa Kemal Üniversitesi Tayfur Sökmen Kampüsü Geçici Yerleşkesi - 22.12.2023 16:30,Sonuç İlanı Yayımlanmış,YATIRIM İZLEME VE KOORDİNASYON BAŞKANLIKLARI,HATAY YATIRIM İZLEME VE KOORDİNASYON BAŞKANLIĞI,YATIRIM İZLEME MÜDÜRLÜĞÜ YATIRIM İZLEME VE KOORDİNASYON BAŞKANLIKLARI HATAY YATIRIM İZLEME VE KOORDİNASYON BAŞKANLIĞI,HATAY,,"79.850.000,00 TRY","80.224.300,68 TRY",,15.01.2024,"79.850.000,00 TRY","79.850.000,00 TRY",Yok,,,79850000,80224300.68,79850000,79850000,-0.4665677068261695,0,Hatay Valiliği Yatırım İzleme ve Koordinasyon Başkanlığı Mustafa Kemal Üniversitesi Tayfur Sökmen Kampüsü Geçici Yerleşkesi,22.12.2023 16:30
2023/1526010,2023/1526010e-ihale,Antakya İlçesi Gülderen Mahallesi 2313 Adet Konut Bölgesi 24 Derslikli Ortaokul Yapım İşi,Yapım - Pazarlık - Pazarlık (MD 21 B),Verilemez,45000000,20.12.2023,Sonuç İlanı,Antakya/HATAY,Hatay Valiliği Yatırım İzleme ve Koordinasyon Başkanlığı Mustafa Kemal Üniversitesi Tayfur Sökmen Kampüsü Geçici Yerleşkesi - 22.12.2023 16:30,Sonuç İlanı Yayımlanmış,YATIRIM İZLEME VE KOORDİNASYON BAŞKANLIKLARI,HATAY YATIRIM İZLEME VE KOORDİNASYON BAŞKANLIĞI,YATIRIM İZLEME MÜDÜRLÜĞÜ YATIRIM İZLEME VE KOORDİNASYON BAŞKANLIKLARI HATAY YATIRIM İZLEME VE KOORDİNASYON BAŞKANLIĞI,HATAY,,"77.950.000,00 TRY","80.224.300,68 TRY",,15.01.2024,"77.950.000,00 TRY","77.950.000,00 TRY",Yok,,,77950000,80224300.68,77950000,77950000,-2.8349273982103935,0,Hatay Valiliği Yatırım İzleme ve Koordinasyon Başkanlığı Mustafa Kemal Üniversitesi Tayfur Sökmen Kampüsü Geçici Yerleşkesi,22.12.2023 16:30
2023/1525653,2023/1525653e-ihale,Antakya İlçesi Dikmece Mahallesi 1415 Adet Konut Bölgesi 24 Derslikli İlkokul Yapım İşi,Yapım - Pazarlık - Pazarlık (MD 21 B),Verilemez,45000000,20.12.2023,Sonuç İlanı,Antakya/HATAY,Hatay Valiliği Yatırım İzleme ve Koordinasyon Başkanlığı Mustafa Kemal Üniversitesi Tayfur Sökmen Kampüsü Geçici Yerleşkesi - 22.12.2023 16:00,Sonuç İlanı Yayımlanmış,YATIRIM İZLEME VE KOORDİNASYON BAŞKANLIKLARI,HATAY YATIRIM İZLEME VE KOORDİNASYON BAŞKANLIĞI,YATIRIM İZLEME MÜDÜRLÜĞÜ YATIRIM İZLEME VE KOORDİNASYON BAŞKANLIKLARI HATAY YATIRIM İZLEME VE KOORDİNASYON BAŞKANLIĞI,HATAY,,"82.500.000,00 TRY","84.706.483,11 TRY",,12.01.2024,"84.500.000,00 TRY","82.500.000,00 TRY",Yok,,,82500000,84706483.11,82500000,84500000,-2.6048574193956986,2.4242424242424243,Hatay Valiliği Yatırım İzleme ve Koordinasyon Başkanlığı Mustafa Kemal Üniversitesi Tayfur Sökmen Kampüsü Geçici Yerleşkesi,22.12.2023 16:00
2023/1525702,2023/1525702e-ihale,"İskenderun İlçesi Cebike Mahallesi, Düğünyurdu, Aşkarbeyli 2-3 Etap 3986 Adet Konut Bölgesi 24 Derslikli İlkokul (2 Kısım) Yapım İşi",Yapım - Pazarlık - Pazarlık (MD 21 B),Verilemez,45000000,20.12.2023,Sonuç İlanı,İskenderun/HATAY,Hatay Valiliği Yatırım İzleme ve Koordinasyon Başkanlığı Mustafa Kemal Üniversitesi Tayfur Sökmen Kampüsü Geçici Yerleşkesi - 22.12.2023 16:00,Sonuç İlanı Yayımlanmış,YATIRIM İZLEME VE KOORDİNASYON BAŞKANLIKLARI,HATAY YATIRIM İZLEME VE KOORDİNASYON BAŞKANLIĞI,YATIRIM İZLEME MÜDÜRLÜĞÜ YATIRIM İZLEME VE KOORDİNASYON BAŞKANLIKLARI HATAY YATIRIM İZLEME VE KOORDİNASYON BAŞKANLIĞI,HATAY,,"83.790.000,00 TRY","84.706.483,11 TRY",,10.01.2024,"83.790.000,00 TRY","83.790.000,00 TRY",Yok,,,83790000,84706483.11,83790000,83790000,-1.081951553589886,0,Hatay Valiliği Yatırım İzleme ve Koordinasyon Başkanlığı Mustafa Kemal Üniversitesi Tayfur Sökmen Kampüsü Geçici Yerleşkesi,22.12.2023 16:00
2023/1523454,2023/1523454e-ihale,Dörtyol İlçesi Bahçelievler Mahallesi 1-2-3-4 Etap 2721 Adet Konut Bölgesi 24 Derslikli Lise Yapım İşi,Yapım - Pazarlık - Pazarlık (MD 21 B),Verilemez,45000000,20.12.2023,Sonuç İlanı,Dörtyol/HATAY,Hatay Valiliği Yatırım İzleme ve Koordinasyon Başkanlığı Mustafa Kemal Üniversitesi Tayfur Sökmen Kampüsü Geçici Yerleşkesi - 22.12.2023 13:30,Sonuç İlanı Yayımlanmış,YATIRIM İZLEME VE KOORDİNASYON BAŞKANLIKLARI,HATAY YATIRIM İZLEME VE KOORDİNASYON BAŞKANLIĞI,YATIRIM İZLEME MÜDÜRLÜĞÜ YATIRIM İZLEME VE KOORDİNASYON BAŞKANLIKLARI HATAY YATIRIM İZLEME VE KOORDİNASYON BAŞKANLIĞI,HATAY,,"81.250.000,00 TRY","81.395.924,77 TRY",,15.01.2024,"81.250.000,00 TRY","81.250.000,00 TRY",Yok,,,81250000,81395924.77,81250000,81250000,-0.17927773461918964,0,Hatay Valiliği Yatırım İzleme ve Koordinasyon Başkanlığı Mustafa Kemal Üniversitesi Tayfur Sökmen Kampüsü Geçici Yerleşkesi,22.12.2023 13:30
